source,target,out_provider,in_provider,weight
RVR,RJ2,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,LEWISHAM AND GREENWICH NHS TRUST,1
RM3,RHQ,SALFORD ROYAL NHS FOUNDATION TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,306
RJL,RXP,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1
REM,RWJ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,STOCKPORT NHS FOUNDATION TRUST,3
RA2,RH5,ROYAL SURREY NHS FOUNDATION TRUST,SOMERSET NHS FOUNDATION TRUST,2
RW6,RM3,PENNINE ACUTE HOSPITALS NHS TRUST,SALFORD ROYAL NHS FOUNDATION TRUST,8
RJL,RWD,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,54
RHU,RTH,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RYR,RJ7,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ST GEORGE'S HEALTHCARE NHS TRUST,418
RM3,RBN,SALFORD ROYAL NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2
R1H,RJZ,BARTS HEALTH NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,50
RA4,RA7,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,57
RVV,R1K,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,11
RPA,RRV,MEDWAY NHS FOUNDATION TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,3
R0D,RRV,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,5
RRK,RGT,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,75
RXN,RCD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1
RGR,RQM,WEST SUFFOLK NHS FOUNDATION TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1
RMC,RMP,BOLTON NHS FOUNDATION TRUST,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,6
RXR,RRF,EAST LANCASHIRE HOSPITALS NHS TRUST,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",10
RTF,RWJ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,STOCKPORT NHS FOUNDATION TRUST,1
R1H,RJC,BARTS HEALTH NHS TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,4
RHU,RA2,PORTSMOUTH HOSPITALS NHS TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,9
RCB,RTX,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1
RJ1,RRK,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,45
RBT,RAJ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1
RJZ,RWE,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1
RTR,RXF,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,MID YORKSHIRE HOSPITALS NHS TRUST,2
RJ7,RM1,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RD8,R1K,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1
RAS,RAL,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,138
RBN,RWW,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,3
RP5,RFR,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,THE ROTHERHAM NHS FOUNDATION TRUST,195
RXP,RVW,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,17
RCB,RWA,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10024
RJL,RWA,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,21485
RWF,RJ1,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2186
RJZ,RDU,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,17
RTP,RWG,SURREY AND SUSSEX HEALTHCARE NHS TRUST,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,2
RWE,RQ3,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,6
RJC,R0A,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1
RWA,RCU,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,314
RLQ,RH5,WYE VALLEY NHS TRUST,SOMERSET NHS FOUNDATION TRUST,2
RAX,RJ7,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1196
RTH,RWH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,59
RFR,R0B,THE ROTHERHAM NHS FOUNDATION TRUST,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1
RAL,RJ1,ROYAL FREE LONDON NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,894
RXC,RJ7,EAST SUSSEX HEALTHCARE NHS TRUST,ST GEORGE'S HEALTHCARE NHS TRUST,2
RCB,RBN,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,4
RTD,RXP,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,269
RQM,RAP,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,46
RA9,RH5,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,SOMERSET NHS FOUNDATION TRUST,6
