source,target,out_provider,in_provider,weight
RRV,RAJ,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,22
RA7,RJC,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,3
RD8,RJ7,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,4
RJ7,RJE,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,2
RHM,RJL,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2
RFF,R1H,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,2
RM3,RWH,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1
RXC,RNZ,EAST SUSSEX HEALTHCARE NHS TRUST,SALISBURY NHS FOUNDATION TRUST,4
RD1,RJE,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,1
RH5,RGT,SOMERSET NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RCB,RJ7,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RHU,RH8,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1
RYR,RH8,WESTERN SUSSEX HOSPITALS NHS TRUST,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1
RJL,RKB,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1
RTK,RAJ,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,2
RXC,RKE,EAST SUSSEX HEALTHCARE NHS TRUST,THE WHITTINGTON HEALTH NHS TRUST,1
RCB,RWY,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,59
RTG,RTH,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,2
RA9,RJ1,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,25
RVJ,RJ1,NORTH BRISTOL NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,19
RD1,RH8,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,10
RJL,R0A,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,12
RNQ,RWH,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5
RA7,RJC,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,3
RF4,RDE,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,3
RJE,RJZ,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,9
RJ7,RKB,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,8
RQ3,RJL,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,3
RWH,R0A,EAST AND NORTH HERTFORDSHIRE NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2
RA9,RD1,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,2
RQ3,RJZ,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1
RBD,RBK,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,WALSALL HEALTHCARE NHS TRUST,1
RCB,RDE,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1
RAJ,RVJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,NORTH BRISTOL NHS TRUST,1
RWG,RDU,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,2
RGN,RWY,NORTH WEST ANGLIA NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,1
RHU,RD1,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,1
RBD,RWH,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1
RJZ,RAX,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,KINGSTON HOSPITAL NHS FOUNDATION TRUST,165
RR8,RJ1,LEEDS TEACHING HOSPITALS NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,25
RJC,RBK,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,WALSALL HEALTHCARE NHS TRUST,7
RTK,RTH,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,8
RHU,RVJ,PORTSMOUTH HOSPITALS NHS TRUST,NORTH BRISTOL NHS TRUST,11
RXN,RBN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,1
RR8,RXW,LEEDS TEACHING HOSPITALS NHS TRUST,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1
REM,RTK,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1
RWH,RC9,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5
RJE,RDU,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,2
RTE,RX1,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3
RF4,RWA,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1
RWG,RAJ,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,3
R1K,RAX,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,KINGSTON HOSPITAL NHS TRUST,3
RHU,RA2,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,ROYAL SURREY NHS FOUNDATION TRUST,2
RD8,RRK,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,12
RP5,RWH,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,1
RYJ,RJL,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1
RF4,RKE,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",THE WHITTINGTON HOSPITAL NHS TRUST,10
R1F,RWA,ISLE OF WIGHT NHS TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1
REF,RWA,ROYAL CORNWALL HOSPITALS NHS TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,8
RYR,RDE,WESTERN SUSSEX HOSPITALS NHS TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2
RM3,RX1,SALFORD ROYAL NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3
R1K,RH8,LONDON NORTH WEST HEALTHCARE NHS TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,3
RVY,RJZ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1
RVV,RWH,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,6
RK9,RJ1,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,91
RWH,RGT,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1180
RTG,RTH,DERBY HOSPITALS NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RAP,RKE,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,5768
RD1,RH8,ROYAL UNITED HOSPITAL BATH NHS TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,10
RGP,RKB,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,5
RC9,RX1,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,10
RJ7,RH8,ST GEORGE'S HEALTHCARE NHS TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,2
RNA,RX1,THE DUDLEY GROUP NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,4
RRF,RRK,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,8
RTG,RJZ,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,94
RWJ,RKB,STOCKPORT NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,4
RA9,RBK,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,WALSALL HEALTHCARE NHS TRUST,3
RYR,RJ6,WESTERN SUSSEX HOSPITALS NHS TRUST,CROYDON HEALTH SERVICES NHS TRUST,2
RJE,RM1,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RWG,RAJ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,3
RAX,RDU,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,4
RA9,RNZ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SALISBURY NHS FOUNDATION TRUST,7
RKE,RHQ,THE WHITTINGTON HOSPITAL NHS TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,6
RWW,RJE,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,2
RGN,RJC,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1
RLT,RGT,GEORGE ELIOT HOSPITAL NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RTH,RBL,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1
RJ7,RWA,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3
RAJ,RVJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NORTH BRISTOL NHS TRUST,1
RD1,RJE,ROYAL UNITED HOSPITAL BATH NHS TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,1
R1F,RX1,ISLE OF WIGHT NHS TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1
RX1,RJC,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6
RA9,RJZ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3
RJL,RAX,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,2
RHW,RAX,ROYAL BERKSHIRE NHS FOUNDATION TRUST,KINGSTON HOSPITAL NHS TRUST,1
RA9,RRK,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,14
RD1,RH8,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,10
RNQ,R1K,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,LONDON NORTH WEST HEALTHCARE NHS TRUST,1
RTK,RAX,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,4
RD8,RJ7,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4
RGR,RA2,WEST SUFFOLK NHS FOUNDATION TRUST,ROYAL SURREY NHS FOUNDATION TRUST,2
R1K,RQW,LONDON NORTH WEST HEALTHCARE NHS TRUST,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1
RKE,R0A,THE WHITTINGTON HOSPITAL NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2
RDE,RA2,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1
RTG,RAP,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1
RN7,RKE,DARTFORD AND GRAVESHAM NHS TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,3
RWA,RJC,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1
RYR,RK5,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1
RTK,RAP,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,5
RTG,RK5,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,105
RWD,RK5,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,59
RXP,RBT,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,2
RM3,RJ7,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,8
RJE,RGT,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RKE,RGT,THE WHITTINGTON HOSPITAL NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4
RAX,RKB,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2
RD8,RJC,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,3
RDE,RJC,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1
RA2,R0A,ROYAL SURREY NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2
RBL,RCU,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,1
RP5,RKE,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,1
RQ3,RWD,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,2
RXC,RWD,EAST SUSSEX HEALTHCARE NHS TRUST,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,1
RGN,RRK,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,10
RTG,RWA,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,25
RJ7,RKE,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,6
RDU,RDE,FRIMLEY HEALTH NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,3
RWH,RRK,EAST AND NORTH HERTFORDSHIRE NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4
RC9,RQM,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,5
RLQ,RJC,WYE VALLEY NHS TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5
RJ7,RJC,ST GEORGE'S HEALTHCARE NHS TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,5
RTH,R1K,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,LONDON NORTH WEST HEALTHCARE NHS TRUST,1
RTH,RA2,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ROYAL SURREY NHS FOUNDATION TRUST,1
RRF,R1H,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",BARTS HEALTH NHS TRUST,3
RHU,RAX,PORTSMOUTH HOSPITALS NHS TRUST,KINGSTON HOSPITAL NHS FOUNDATION TRUST,15
RAX,RVJ,KINGSTON HOSPITAL NHS TRUST,NORTH BRISTOL NHS TRUST,1
RDE,RJC,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1
RM1,RDU,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,1
RXF,RWH,MID YORKSHIRE TEACHING NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,1
RXF,RWH,MID YORKSHIRE HOSPITALS NHS TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1
RAL,RAX,ROYAL FREE LONDON NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,1
RD1,R1H,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,2
RP5,RKE,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,THE WHITTINGTON HEALTH NHS TRUST,1
RGR,RAX,WEST SUFFOLK NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,1
RAL,RKE,ROYAL FREE LONDON NHS FOUNDATION TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,1813
RXQ,RWH,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1162
RAX,RTK,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,2
RA2,RWH,ROYAL SURREY NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8
RNN,RWA,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,5
RRF,RJE,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,12
RD1,RDU,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,4
RRV,RDE,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,5
RFS,RGT,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6
RTX,RJ6,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,CROYDON HEALTH SERVICES NHS TRUST,3
RJ7,RDE,ST GEORGE'S HEALTHCARE NHS TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2
RWH,RC9,EAST AND NORTH HERTFORDSHIRE NHS TRUST,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5
RCD,REM,HARROGATE & DISTRICT NHS FOUNDATION TRUST,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,4
RHQ,RXW,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1
RRV,RTH,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RWW,RRK,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,3
RN3,RJZ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,4
RL4,RWH,THE ROYAL WOLVERHAMPTON NHS TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1
RRF,RWD,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1
RTF,RNZ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,SALISBURY NHS FOUNDATION TRUST,1
RJL,RK5,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,3
RGN,RWH,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,12
RGP,RDE,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,14
RTH,RWA,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,13
RDU,RJL,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1
RQM,RD1,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,3
RJC,RDU,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,9
RTD,RJ6,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,CROYDON HEALTH SERVICES NHS TRUST,1
RTE,RWA,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,7
RJE,RGT,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RXN,RJE,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,2
RH8,RAE,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1
RQ3,RK5,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,4
RJ7,R1H,ST GEORGE'S HEALTHCARE NHS TRUST,BARTS HEALTH NHS TRUST,11
RYR,R1K,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,LONDON NORTH WEST HEALTHCARE NHS TRUST,2
RK9,RD1,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1
RWY,RKB,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2
RF4,RAX,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",KINGSTON HOSPITAL NHS TRUST,1
RQ3,RJE,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,188
RVJ,RD1,NORTH BRISTOL NHS TRUST,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,45
RN5,RTK,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,3
RJ1,RWH,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,46
