"Code","Name","Primary_Role_Name","Non_Primary_Role_Name(s)","Postcode","UPRN","Geographic_Local_Authority_Code","Geographic_Local_Authority_Name","High_Level_Health_Geography_Code","High_Level_Health_Geography_Name","National_Grouping_Code","National_Grouping_Name","Geographic_Government_Office_Region_Code","Geographic_Government_Office_Region_Name"
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NR1 2DH","","607","NORFOLK COUNTY COUNCIL","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RY3","NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST","NHS TRUST","","NR2 3TU","10009438808","607","NORFOLK COUNTY COUNCIL","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RVJ","NORTH BRISTOL NHS TRUST","NHS TRUST","","BS10 5NB","14373","909","BRISTOL CITY COUNCIL","QUY","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RNN","NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CA2 7HY","10091762920","H6X4G","CUMBERLAND COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RNL","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","","CA2 7HY","","H6X4G","CUMBERLAND COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RX6","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NE15 8NY","4510722041","107","NEWCASTLE CITY COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","RM13 8GQ","10033426303","726","LONDON BOROUGH OF HAVERING","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RRD","NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CM2 0QX","","620","ESSEX COUNTY COUNCIL","QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"G6V2S","NORTH LONDON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NW1 0PE","5139737","702","LONDON BOROUGH OF CAMDEN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","NHS TRUST","","N18 1QX","207169107","723","LONDON BOROUGH OF ENFIELD","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST","NHS TRUST","HOSPICE","ST4 8HH","3455123224","414","STOKE-ON-TRENT CITY COUNCIL","QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","TS24 9AH","10091851453","111","HARTLEPOOL BOROUGH COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RX7","NORTH WEST AMBULANCE SERVICE NHS TRUST","NHS TRUST","","BL1 5DD","10001249175","304","BOLTON METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","PE3 9GZ","100091525727","624","PETERBOROUGH CITY COUNCIL","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RV8","NORTH WEST LONDON HOSPITALS NHS TRUST","NHS TRUST","","HA1 3UJ","202026960","719","LONDON BOROUGH OF BRENT","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","NHS TRUST","HOSPICE|MEDICINE SUPPLIER","NN1 5BD","15090671","U6Q5Z","WEST NORTHAMPTONSHIRE COUNCIL","QPM","NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NN15 7PW","100032143826","Z9D4Z","NORTH NORTHAMPTONSHIRE COUNCIL","QPM","NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","M6 8HD","","309","SALFORD CITY COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DN33 2BA","11081882","216","NORTH EAST LINCOLNSHIRE COUNCIL","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NE29 8NH","47074492","108","NORTH TYNESIDE COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","","NG7 2UH","200001412217","512","NOTTINGHAM CITY COUNCIL","QT1","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NG3 6AA","100032118213","512","NOTTINGHAM CITY COUNCIL","QT1","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RBF","NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST","NHS TRUST","","OX3 7LD","","608","OXFORDSHIRE COUNTY COUNCIL","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","OX4 4XN","10002762454","608","OXFORDSHIRE COUNTY COUNCIL","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
