"Code","Name","Primary_Role_Name","Non_Primary_Role_Name(s)","Postcode","UPRN","Geographic_Local_Authority_Code","Geographic_Local_Authority_Name","High_Level_Health_Geography_Code","High_Level_Health_Geography_Name","National_Grouping_Code","National_Grouping_Name","Geographic_Government_Office_Region_Code","Geographic_Government_Office_Region_Name"
"RCF","AIREDALE NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BD20 6TD","100051940908","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","L12 2AP","38049828","316","LIVERPOOL CITY COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","KT16 0PZ","200004039061","805","SURREY COUNTY COUNCIL","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST","NHS TRUST","","BA1 3QE","10001136832","908","BATH AND NORTH EAST SOMERSET COUNCIL","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","","RM7 0AG","10013186555","726","LONDON BOROUGH OF HAVERING","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","NHS TRUST","","N15 3TH","100023151098","724","LONDON BOROUGH OF HARINGEY","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","S75 2EP","100052201981","204","BARNSLEY METROPOLITAN BOROUGH COUNCIL","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RNJ","BARTS AND THE LONDON NHS TRUST","NHS TRUST","HOSPICE","E1 1BB","","711","LONDON BOROUGH OF TOWER HAMLETS","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"R1H","BARTS HEALTH NHS TRUST","NHS TRUST","","E1 2ES","6362645","711","LONDON BOROUGH OF TOWER HAMLETS","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RDD","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SS16 5NL","100091590497","620","ESSEX COUNTY COUNCIL","QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RC1","BEDFORD HOSPITAL NHS TRUST","NHS TRUST","HOSPICE","MK42 9DJ","100081210845","625","BEDFORD BOROUGH COUNCIL","QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","LU4 0DZ","100081331524","611","LUTON BOROUGH COUNCIL","QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","RG12 2UT","200000330653","614","BRACKNELL FOREST COUNCIL","QNQ","NHS FRIMLEY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B13 8QY","100071423845","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RYW","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B7 4BN","200001483837","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","B4 6NH","100071462054","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RLU","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B15 2TG","100071429339","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","FY3 8NR","10000871697","325","BLACKPOOL BOROUGH COUNCIL","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RMC","BOLTON NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BL4 0JR","200002563317","304","BOLTON METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BD9 6RJ","100051155784","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RY2","BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","WA3 7PG","10008652313","322","WARRINGTON BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RXH","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","","BN2 5BE","22082402","816","BRIGHTON AND HOVE CITY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RXQ","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","NHS TRUST","","HP7 0JD","100081328830","916","BUCKINGHAMSHIRE COUNCIL","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RJF","BURTON HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","DE13 0RB","100032001977","413","STAFFORDSHIRE COUNTY COUNCIL","QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RWY","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","HD3 3EA","83034315","211","KIRKLEES COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST|MEDICINE SUPPLIER","CB2 0QQ","200004215795","623","CAMBRIDGESHIRE COUNTY COUNCIL","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CB21 5EF","100091410393","623","CAMBRIDGESHIRE COUNTY COUNCIL","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RYV","CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST","NHS TRUST","","PE27 4LG","10000151731","623","CAMBRIDGESHIRE COUNTY COUNCIL","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NW1 3AX","5192658","702","LONDON BOROUGH OF CAMDEN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST","NHS TRUST","","NW1 5JD","10033538203","713","CITY OF WESTMINSTER","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RW3","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","M13 9WL","","306","MANCHESTER CITY COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SW10 9NH","217117866","707","ROYAL BOROUGH OF KENSINGTON AND CHELSEA","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CH2 1BQ","10012220485","327","CHESHIRE WEST AND CHESTER COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","S44 5BL","74078658","506","DERBYSHIRE COUNTY COUNCIL","QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","PL31 2QN","","902","CORNWALL COUNCIL","QT6","NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CH2 1UL","200000825928","327","CHESHIRE WEST AND CHESTER COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DL3 6HX","200002723662","117","DARLINGTON BOROUGH COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST","NHS TRUST","","CV6 6NY","10023032365","407","COVENTRY CITY COUNCIL","QWU","NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RJ6","CROYDON HEALTH SERVICES NHS TRUST","NHS TRUST","HOSPICE","CR7 7YE","200001185795","721","LONDON BOROUGH OF CROYDON","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RX4","CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NE3 3XT","","107","NEWCASTLE CITY COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RN7","DARTFORD AND GRAVESHAM NHS TRUST","NHS TRUST","","DA2 8DA","200000544153","820","KENT COUNTY COUNCIL","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RY8","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","S42 7JE","10034037129","506","DERBYSHIRE COUNTY COUNCIL","QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","DE22 3LZ","100032007023","507","DERBY CITY COUNCIL","QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RWV","DEVON PARTNERSHIP NHS TRUST","NHS TRUST","","EX2 5AF","100041044624","912","DEVON COUNTY COUNCIL","QJK","NHS DEVON INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RP5","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DN2 5LT","10006580750","205","DONCASTER METROPOLITAN BOROUGH COUNCIL","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","DT1 2JY","200000755531","809","DORSET COUNCIL","QVV","NHS DORSET INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BH17 0RB","","738","BCP COUNCIL","QVV","NHS DORSET INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RYK","DUDLEY INTEGRATED HEALTH AND CARE NHS TRUST","NHS TRUST","","DY5 1RU","90204901","408","DUDLEY METROPOLITAN BOROUGH COUNCIL","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RC3","EALING HOSPITAL NHS TRUST","NHS TRUST","HOSPICE","UB1 3HW","12001075","722","LONDON BOROUGH OF EALING","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RWH","EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST","NHS TRUST","","SG1 4AB","","606","HERTFORDSHIRE COUNTY COUNCIL","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RJN","EAST CHESHIRE NHS TRUST","NHS TRUST","HOSPICE","SK10 3BL","100012771060","326","CHESHIRE EAST COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RVV","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CT1 3NG","100062280103","820","KENT COUNTY COUNCIL","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RXR","EAST LANCASHIRE HOSPITALS NHS TRUST","NHS TRUST","","BB2 3HH","100012540739","324","BLACKBURN WITH DARWEN BOROUGH COUNCIL","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RWK","EAST LONDON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","E1 8DE","","711","LONDON BOROUGH OF TOWER HAMLETS","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RX9","EAST MIDLANDS AMBULANCE SERVICE NHS TRUST","NHS TRUST","","NG8 6PY","10034859112","512","NOTTINGHAM CITY COUNCIL","QT1","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RYC","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST","NHS TRUST","","SG8 6NA","10033037149","623","CAMBRIDGESHIRE COUNTY COUNCIL","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","CO4 5JL","100091645367","620","ESSEX COUNTY COUNCIL","QJG","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RXC","EAST SUSSEX HEALTHCARE NHS TRUST","NHS TRUST","","TN37 7PT","10002504411","815","EAST SUSSEX COUNTY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","","SM5 1AA","5870054822","734","LONDON BOROUGH OF SUTTON","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"R1L","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","SS11 7XX","200004638510","620","ESSEX COUNTY COUNCIL","QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","GU16 7UJ","100062329311","805","SURREY COUNTY COUNCIL","QNQ","NHS FRIMLEY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NE9 6SX","100000529682","106","GATESHEAD METROPOLITAN BOROUGH COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RLT","GEORGE ELIOT HOSPITAL NHS TRUST","NHS TRUST","","CV10 7DJ","100071495026","404","WARWICKSHIRE COUNTY COUNCIL","QWU","NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"R1J","GLOUCESTERSHIRE CARE SERVICES NHS TRUST","NHS TRUST","","GL3 4AW","","904","GLOUCESTERSHIRE COUNTY COUNCIL","QR1","NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RTQ","GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","GL3 4AW","10067626544","904","GLOUCESTERSHIRE COUNTY COUNCIL","QR1","NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RTE","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","GL53 7AN","200002678707","904","GLOUCESTERSHIRE COUNTY COUNCIL","QR1","NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","WC1N 3JH","5090726","702","LONDON BOROUGH OF CAMDEN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RN3","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SN3 6BB","10004845766","819","SWINDON BOROUGH COUNCIL","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","M25 3BL","100012689272","305","BURY METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST|MEDICINE SUPPLIER","SE1 7EH","100023572036","708","LONDON BOROUGH OF LAMBETH","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RQN","HAMMERSMITH HOSPITALS NHS TRUST","NHS TRUST","HOSPICE","W12 0HS","34020041","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RW1","HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","SO40 2RZ","100062640151","812","HAMPSHIRE COUNTY COUNCIL","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","RG24 9NA","","812","HAMPSHIRE COUNTY COUNCIL","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","HG2 7SX","10003597440","218","NORTH YORKSHIRE COUNCIL","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RR1","HEART OF ENGLAND NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B9 5ST","100071488273","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
