hospital,infection_frequency,mean_epidemic_size,mean_epidemic_size_pct,mean_step_to_infection,provider,community_id,weighted_in_degree,cross_community_bridges
RRF,0.0131,12.2,9.8,14.05,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0,203,28
RBL,0.0128,4.1,3.3,1.72,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,0,198,31
RLQ,0.008,12.7,10.2,,WYE VALLEY NHS TRUST,4,216,35
RW6,0.008,5.9,4.7,,PENNINE ACUTE HOSPITALS NHS TRUST,0,17,6
RN3,0.008,24.9,19.9,,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,3,255,42
RVY,0.008,5.6,4.5,,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,0,184,17
RHW,0.008,29.3,23.4,,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1,26,45
RXK,0.008,7.4,5.9,,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,4,189,30
RQW,0.008,16.2,13.0,,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,6,136,39
RA4,0.008,16.3,13.0,,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,3,125,15
RJN,0.008,8.0,6.4,,EAST CHESHIRE NHS TRUST,0,75,17
