hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges
RKE,THE WHITTINGTON HEALTH NHS TRUST,8,13759,1223,14982,61
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8,4860,33842,38702,74
R1H,BARTS HEALTH NHS TRUST,8,4727,3382,8109,146
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,8,1482,9403,10885,119
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",8,743,2030,2773,75
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,8,91,2549,2640,43
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,9,22280,2987,25267,149
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9,2298,1686,3984,75
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,9,1583,2923,4506,104
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,9,744,4060,4804,74
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9,734,3421,4155,59
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,9,713,7450,8163,103
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9,584,13459,14043,79
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,10,87382,4424,91806,159
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,10,8655,7260,15915,93
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10,3554,15562,19116,55
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,10,993,13509,14502,38
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,10,388,16137,16525,53
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,10,166,27816,27982,61
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11,28501,8939,37440,146
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,11,8725,13810,22535,105
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,11,431,13056,13487,40
