Code,Name,Postcode,latitude,longitude,geocoded
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SO40 2RZ,50.931292,-1.530043,True
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,RG24 9NA,51.280633,-1.1099,True
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,HG2 7SX,53.993822,-1.517579,True
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,B9 5ST,,,False
RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,SL2 4HL,51.532009,-0.573974,True
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR5 1JR,52.192352,-2.178013,True
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,AL7 1BW,51.802232,-0.194122,True
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,AL10 8YE,51.766985,-0.216689,True
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,E9 6SR,51.550635,-0.046072,True
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,TW11 8HU,51.427449,-0.326578,True
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,HU3 2JZ,53.744134,-0.358153,True
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,HU10 6ED,53.771873,-0.449207,True
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W2 1BL,51.517542,-0.174387,True
RGQ,IPSWICH HOSPITAL NHS TRUST,IP4 5PD,52.056863,1.197945,True
R1F,ISLE OF WIGHT NHS TRUST,PO30 5TG,50.710832,-1.301363,True
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR31 6LA,52.561697,1.718003,True
RXY,KENT AND MEDWAY MENTAL HEALTH NHS TRUST,ME16 9PH,51.27321,0.485729,True
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,TN25 4AZ,51.171892,0.870742,True
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NN16 8UZ,52.402797,-0.741279,True
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE5 9RS,51.468078,-0.09389,True
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,KT2 7QB,51.414826,-0.282602,True
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,PR5 6AW,53.719431,-2.63894,True
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PR2 9HT,53.791521,-2.706842,True
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,LS7 3JX,53.821054,-1.534967,True
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,LS11 0DL,53.762746,-1.575641,True
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,LS9 7TF,53.806885,-1.520363,True
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,LE3 8RA,52.65573,-1.187999,True
RJ2,LEWISHAM AND GREENWICH NHS TRUST,SE13 6LH,51.453022,-0.017917,True
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,LN5 7JH,53.226489,-0.52415,True
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,LN1 1FS,53.244051,-0.556906,True
RY1,LIVERPOOL COMMUNITY HEALTH NHS TRUST,L13 1FB,53.404136,-2.929955,True
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,L14 3PE,53.411167,-2.897989,True
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,L7 8XP,53.409523,-2.964809,True
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,L8 7SS,53.398478,-2.960077,True
RRU,LONDON AMBULANCE SERVICE NHS TRUST,SE1 8SD,51.500175,-0.109005,True
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,HA1 3UJ,51.575409,-0.322015,True
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ME16 9QQ,51.273661,0.484004,True
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,53.462452,-2.227709,True
RPA,MEDWAY NHS FOUNDATION TRUST,ME7 5NY,51.379861,0.54209,True
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,L35 5DR,53.420485,-2.784953,True
RW4,MERSEY CARE NHS FOUNDATION TRUST,L34 1PJ,53.424116,-2.826374,True
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,SS0 0RY,51.553842,0.688646,True
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,CW1 4QJ,53.117701,-2.475863,True
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,CM1 7ET,51.774662,0.466021,True
