Code,Name,Postcode,latitude,longitude,geocoded,hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges,node_size
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE5 9RS,51.468078,-0.09389,True,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2,25869,6405,32274,145,10.734527556801922
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,KT2 7QB,51.414826,-0.282602,True,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1,13549,2001,15550,92,8.478246437360498
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PR2 9HT,53.791521,-2.706842,True,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0,1593,2177,3770,50,6.288628169175299
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,LS9 7TF,53.806885,-1.520363,True,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,5,3336,6075,9411,102,6.607840668459909
RJ2,LEWISHAM AND GREENWICH NHS TRUST,SE13 6LH,51.453022,-0.017917,True,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2,1321,12262,13583,52,6.2388141704343845
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,L7 8XP,53.409523,-2.964809,True,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0,1840,839,2679,44,6.33386367538488
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,HA1 3UJ,51.575409,-0.322015,True,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2,847,8651,9498,74,6.152005952040291
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ME16 9QQ,51.273661,0.484004,True,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2,1388,7475,8863,68,6.2510845304183595
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,53.462452,-2.227709,True,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,0,27494,1569,29063,116,11.032129571338636
RPA,MEDWAY NHS FOUNDATION TRUST,ME7 5NY,51.379861,0.54209,True,RPA,MEDWAY NHS FOUNDATION TRUST,2,578,4316,4894,39,6.102741372403136
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,L35 5DR,53.420485,-2.784953,True,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,0,1229,737,1966,35,6.221965317919075
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,SS0 0RY,51.553842,0.688646,True,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6,1647,2015,3662,102,6.298517713042981
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,CW1 4QJ,53.117701,-2.475863,True,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0,562,2376,2938,67,6.0998111371830825
RXF,MID YORKSHIRE TEACHING NHS TRUST,WF1 4DG,53.692434,-1.488558,True,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,5,1597,1152,2749,58,6.289360727980313
